,nama,link,harga,img,kota,terjual
0,Alat Cukur Jenggot Elektrik Mini Portable USB Charging / Shaver Isi Ulang USB / Shaver Travel,https://shopee.co.id/Alat-Cukur-Jenggot-Elektrik-Mini-Portable-USB-Charging-Shaver-Isi-Ulang-USB-Shaver-Travel-i.134537390.19445975535?sp_atk=2423f700-c782-4a99-9e84-ccab1f769ef6&xptdk=2423f700-c782-4a99-9e84-ccab1f769ef6,Rp42.800,https://down-id.img.susercontent.com/file/0065ce544fff783b8395d573887b4610_tn,KOTA JAKARTA UTARA,"8,5RB Terjual"
1,Lampu buat kamar tidur Lampu Hias LED lampu hias kamar tidur Hadiah spesial lampu malam bulan bola kristal,https://shopee.co.id/Lampu-buat-kamar-tidur-Lampu-Hias-LED-lampu-hias-kamar-tidur-Hadiah-spesial-lampu-malam-bulan-bola-kristal-i.555045533.20648179774?sp_atk=f34b6406-4e0f-4f74-81ea-486fc28a75ec&xptdk=f34b6406-4e0f-4f74-81ea-486fc28a75ec,Rp13.590 - Rp34.000,https://down-id.img.susercontent.com/file/69e4fba08aee29ea88fc305c21a06d08_tn,KOTA SURABAYA,10RB+ Terjual
2,Miyako Magic Com Penanak Nasi 3 in 1 MCM 508 SBC / Megicom Miyako ORIGINAL MCM-508 SBC / Magic Com Miyako 3in1 MCM508SBC / Rice Cooker Miyako MURAH MCM 508 SBC / Miyako Rice Cooker,https://shopee.co.id/Miyako-Magic-Com-Penanak-Nasi-3-in-1-MCM-508-SBC-Megicom-Miyako-ORIGINAL-MCM-508-SBC-Magic-Com-Miyako-3in1-MCM508SBC-Rice-Cooker-Miyako-MURAH-MCM-508-SBC-Miyako-Rice-Cooker-i.11063576.1560123397?sp_atk=25f72472-44b8-4c2b-a802-fa603aec67b0&xptdk=25f72472-44b8-4c2b-a802-fa603aec67b0,Rp224.155,https://down-id.img.susercontent.com/file/d0cec6b9ca159000dbcac5671966a184_tn,KOTA JAKARTA BARAT,10RB+ Terjual
3,TNW Car Vacum Cleaner Penyedot Debu 12000Pa Hisap Handheld  Vacuum Cleaner Portabel untuk Rumah & Mobil,https://shopee.co.id/TNW-Car-Vacum-Cleaner-Penyedot-Debu-12000Pa-Hisap-Handheld-Vacuum-Cleaner-Portabel-untuk-Rumah-Mobil-i.857254694.17784463938?sp_atk=4840ea20-c50f-4e3d-95f2-c527cc1ad0a5&xptdk=4840ea20-c50f-4e3d-95f2-c527cc1ad0a5,Rp123.600 - Rp179.000,https://down-id.img.susercontent.com/file/sg-11134201-22100-dutiz9x3cxivb1_tn,KOTA TANGERANG,8RB Terjual
4,K vision Paket Cling 30/180 CL01 CL06 MNC,https://shopee.co.id/K-vision-Paket-Cling-30-180-CL01-CL06-MNC-i.409373002.20643320362?sp_atk=2049be07-086a-4951-9237-adaccfc05a0d&xptdk=2049be07-086a-4951-9237-adaccfc05a0d,Rp9.900 - Rp48.500,https://down-id.img.susercontent.com/file/832929815ec74c60beb94c4d19adeb69_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
5,LAMPU SOROT LED 50W FLOOD LIGHT SMD 50 WATT / LAMPU TEMBAK MODEL TIPIS 50 WATT,https://shopee.co.id/LAMPU-SOROT-LED-50W-FLOOD-LIGHT-SMD-50-WATT-LAMPU-TEMBAK-MODEL-TIPIS-50-WATT-i.26958590.11707241289?sp_atk=789ff3d5-fcac-499a-b371-26f8da17b96d&xptdk=789ff3d5-fcac-499a-b371-26f8da17b96d,Rp18.800 - Rp28.800,https://down-id.img.susercontent.com/file/5b75216b0d9f27d861e6f6cdb04c9699_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
6,DISPENSER MIYAKO WD 186H / WD186H / WD-186H - DISPENSER MIYAKO WD 185H / WD185H / WD-18HH [TERMURAH],https://shopee.co.id/DISPENSER-MIYAKO-WD-186H-WD186H-WD-186H-DISPENSER-MIYAKO-WD-185H-WD185H-WD-18HH-TERMURAH--i.314073686.7756285594?sp_atk=3bc3ecda-2fa3-4974-b1d5-5354f0729707&xptdk=3bc3ecda-2fa3-4974-b1d5-5354f0729707,Rp119.900 - Rp137.500,https://down-id.img.susercontent.com/file/37f5371643bebaf5238061c7e336f518_tn,KOTA BEKASI,10RB+ Terjual
7,Sepatu mesin jahit highspeed/ juki/ typical/ industri,https://shopee.co.id/Sepatu-mesin-jahit-highspeed-juki-typical-industri-i.491419378.10724471996?sp_atk=7f5bff58-704e-4c9a-973b-a15a2738ea35&xptdk=7f5bff58-704e-4c9a-973b-a15a2738ea35,Rp7.000 - Rp22.000,https://down-id.img.susercontent.com/file/0d6521d36687f3d8e470be07b8c3f481_tn,KOTA SURABAYA,10RB+ Terjual
8,Gamepad Android Bluetooth Wireless IOS Windows PS3 Controller Joystick,https://shopee.co.id/Gamepad-Android-Bluetooth-Wireless-IOS-Windows-PS3-Controller-Joystick-i.538824769.13538788334?sp_atk=b7b15590-4ef9-4eaf-a840-4e29ea785a04&xptdk=b7b15590-4ef9-4eaf-a840-4e29ea785a04,Rp71.007 - Rp75.900,https://down-id.img.susercontent.com/file/sg-11134201-23010-kj3ctsz37imva2_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
9,PAKET LAMPU LED NEON FLEX 220V WATERPROOF LENGKAP TINGGAL COLOK SIAP PAKAI / LAMPU KAMAR LAMPU HIAS LAMPU PLAFON LAMPU HURUF LAMPU DIY LAMPU NAMA,https://shopee.co.id/PAKET-LAMPU-LED-NEON-FLEX-220V-WATERPROOF-LENGKAP-TINGGAL-COLOK-SIAP-PAKAI-LAMPU-KAMAR-LAMPU-HIAS-LAMPU-PLAFON-LAMPU-HURUF-LAMPU-DIY-LAMPU-NAMA-i.218542238.20214159045?sp_atk=366683f7-7d48-49ff-8e37-233bc70d2721&xptdk=366683f7-7d48-49ff-8e37-233bc70d2721,Rp9.000 - Rp46.000,https://down-id.img.susercontent.com/file/11b490b3db80fd9d14da95a89ae9b6e0_tn,KOTA SURABAYA,10RB+ Terjual
