,nama,link,harga,img,kota,terjual
0,Kaca mata anti radiasi / Kacamata Wanita Pria Frame Anti Radiasi Transparan impor Kacamata korea,https://shopee.co.id/Kaca-mata-anti-radiasi-Kacamata-Wanita-Pria-Frame-Anti-Radiasi-Transparan-impor-Kacamata-korea-i.84976950.4052708088?sp_atk=cd6b54cc-7767-4c2e-9e9c-ba9ca31ff558&xptdk=cd6b54cc-7767-4c2e-9e9c-ba9ca31ff558,Rp2.999 - Rp3.680,https://down-id.img.susercontent.com/file/c52dde2c01a792d1b8d7b034b2a48417_tn,KOTA JAKARTA BARAT,10RB+ Terjual
1,COD Gelang Titaniun Perak Berbentuk Hati Rantai Gelang Tangan Wanita Bunga Bintang Liontin Korea Fashion Gelang Wanita,https://shopee.co.id/COD-Gelang-Titaniun-Perak-Berbentuk-Hati-Rantai-Gelang-Tangan-Wanita-Bunga-Bintang-Liontin-Korea-Fashion-Gelang-Wanita-i.512468185.13029703135?sp_atk=484742b6-60f9-4491-9622-6d8f29c27e40&xptdk=484742b6-60f9-4491-9622-6d8f29c27e40,Rp2.999 - Rp9.999,https://down-id.img.susercontent.com/file/d223e7d9f6f5d1c0a4261b9afd455a5c_tn,,10RB+ Terjual
2,Topi Baseball Cap Way Terpopuler Topi Pria Wanita Kekinian Material catton premium (COD),https://shopee.co.id/Topi-Baseball-Cap-Way-Terpopuler-Topi-Pria-Wanita-Kekinian-Material-catton-premium-(COD)-i.387679135.8481440803?sp_atk=61113648-7b79-4849-8d93-bb6b1929a005&xptdk=61113648-7b79-4849-8d93-bb6b1929a005,Rp11.000 - Rp15.000,https://down-id.img.susercontent.com/file/f9d298ac19d2ea45c8fee837838d54dd_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
3,ED - JEPITAN RAMBUT KOREA DOFF ORIGINAL / JEDAI SALON MATTE DOFF KOREA ORIGINAL,https://shopee.co.id/ED-JEPITAN-RAMBUT-KOREA-DOFF-ORIGINAL-JEDAI-SALON-MATTE-DOFF-KOREA-ORIGINAL-i.363102513.21840155277?sp_atk=484102c1-516e-4f2e-9411-4e0f419ad85c&xptdk=484102c1-516e-4f2e-9411-4e0f419ad85c,Rp4.494 - Rp4.830,https://down-id.img.susercontent.com/file/16019f28e0a957c06a7680381e3b052b_tn,KOTA JAKARTA UTARA,10RB+ Terjual
4,1 Buah Penarik Ritsleting Tab Tarik Yang Dapat Dilepas Logam Universal Aksesoris Mode F,https://shopee.co.id/1-Buah-Penarik-Ritsleting-Tab-Tarik-Yang-Dapat-Dilepas-Logam-Universal-Aksesoris-Mode-F-i.503541747.13790361482?sp_atk=bc37bef5-8a5b-405d-918a-749d94cbd632&xptdk=bc37bef5-8a5b-405d-918a-749d94cbd632,Rp9.724,https://down-id.img.susercontent.com/file/04a934b2d5c487d5092cefab898f61b2_tn,KAB. TANGERANG,10RB+ Terjual
5,Gelang Inisial Glow In The Dark Model Simpul / Gelang Menyala Dalam Gelap,https://shopee.co.id/Gelang-Inisial-Glow-In-The-Dark-Model-Simpul-Gelang-Menyala-Dalam-Gelap-i.745696315.12891841420?sp_atk=ffc7b172-fa46-4218-9227-dcfdcb76ec5b&xptdk=ffc7b172-fa46-4218-9227-dcfdcb76ec5b,Rp1.800,https://down-id.img.susercontent.com/file/417f652b210025e54574e6f28fc2abd1_tn,KAB. GARUT,10RB+ Terjual
6,Topi Pria Keren Original Murah kasual Distro Baseball Terbaru Korea/Topi Original Import Pria/Wanita,https://shopee.co.id/Topi-Pria-Keren-Original-Murah-kasual-Distro-Baseball-Terbaru-Korea-Topi-Original-Import-Pria-Wanita-i.387679135.9885713198?sp_atk=33c05102-0946-40c3-a5ca-20ddd4e00016&xptdk=33c05102-0946-40c3-a5ca-20ddd4e00016,Rp8.255 - Rp17.000,https://down-id.img.susercontent.com/file/d06a7fcf8161881d18a5422a702f1ad0_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
7,Cincin Korea Manik Manik Lucu/ Paket Isi 6 Cincin Random,https://shopee.co.id/Cincin-Korea-Manik-Manik-Lucu-Paket-Isi-6-Cincin-Random-i.738506894.22506101606?sp_atk=647efab4-03f3-43f1-9b1c-d0ef96e33ad4&xptdk=647efab4-03f3-43f1-9b1c-d0ef96e33ad4,Rp10.000,https://down-id.img.susercontent.com/file/sg-11134201-22110-cobivs4tb2jvd8_tn,KOTA TASIKMALAYA,10RB+ Terjual
8,Kacamata fashion Small candy color sunglasses pria wanita model terbaru,https://shopee.co.id/Kacamata-fashion-Small-candy-color-sunglasses-pria-wanita-model-terbaru-i.11046632.13254820494?sp_atk=c758154c-37d9-4933-8df2-1c404d55fb27&xptdk=c758154c-37d9-4933-8df2-1c404d55fb27,Rp5.170 - Rp5.860,https://down-id.img.susercontent.com/file/8e4c06b734091aad2760c2769f142b9c_tn,KAB. SIDOARJO,10RB+ Terjual
9,Anting Stud Kristal Berlian Bahan Titanium Steel S925 Warna Emas Gaya Korea Untuk Wanita,https://shopee.co.id/Anting-Stud-Kristal-Berlian-Bahan-Titanium-Steel-S925-Warna-Emas-Gaya-Korea-Untuk-Wanita-i.219243032.17039939863?sp_atk=2ed3966d-5939-4148-bf24-b94913604702&xptdk=2ed3966d-5939-4148-bf24-b94913604702,Rp12.198,https://down-id.img.susercontent.com/file/ee11af39fbf952e30c480fcbe65389f5_tn,Luar Negeri,10RB+ Terjual
