,nama,link,harga,img,kota,terjual
0,Softlens Magister（COD）1 pasang softlens 14 mm lensa kontak gaya dan cantik softlens minus 0.00 softlens grey soflen normal,https://shopee.co.id/Softlens-Magister（COD）1-pasang-softlens-14-mm-lensa-kontak-gaya-dan-cantik-softlens-minus-0.00-softlens-grey-soflen-normal-i.777886472.17774673619?sp_atk=04f8ef31-da71-4de2-b302-5105f73a5275&xptdk=04f8ef31-da71-4de2-b302-5105f73a5275,Rp19.000 - Rp23.800,https://down-id.img.susercontent.com/file/id-11134207-7qul6-li1cwikbjvvi28_tn,KOTA JAKARTA BARAT,10RB+ Terjual
1,Kacamata Hitam Wanita dan pria Korea Fashion Color Square Anti UV400,https://shopee.co.id/Kacamata-Hitam-Wanita-dan-pria-Korea-Fashion-Color-Square-Anti-UV400-i.11046632.19661624970?sp_atk=8e8cf587-0ff0-496c-8112-3d3a4d741986&xptdk=8e8cf587-0ff0-496c-8112-3d3a4d741986,Rp5.170,https://down-id.img.susercontent.com/file/sg-11134201-22110-0aoal4aniqjva3_tn,KAB. SIDOARJO,10RB+ Terjual
2,MEASTORE |(100PCS) IKAT RAMBUT KARET POLOS ELASTIS GAYA KOREA / KARET GELANG / KUCIRAN RAMBUT WANITA 100 PCS,https://shopee.co.id/MEASTORE-(100PCS)-IKAT-RAMBUT-KARET-POLOS-ELASTIS-GAYA-KOREA-KARET-GELANG-KUCIRAN-RAMBUT-WANITA-100-PCS-i.206651641.16657880866?sp_atk=e72719db-efba-4afb-8d17-b2db0e72f915&xptdk=e72719db-efba-4afb-8d17-b2db0e72f915,Rp5.591,https://down-id.img.susercontent.com/file/id-11134207-7qukw-ljzjc2yxmywzb3_tn,KOTA SURABAYA,10RB+ Terjual
3,{Free Box } Ready Gelang Couple Dino Love / Gelang Sepasanga (Sudah 2Pcs),https://shopee.co.id/-Free-Box-Ready-Gelang-Couple-Dino-Love-Gelang-Sepasanga-(Sudah-2Pcs)-i.487663885.19043376773?sp_atk=738f7a71-8e96-4f1d-80e4-adac15ea7fa3&xptdk=738f7a71-8e96-4f1d-80e4-adac15ea7fa3,Rp3.325 - Rp9.960,https://down-id.img.susercontent.com/file/sg-11134201-22110-bwh14q5mbdkvd7_tn,KAB. BONDOWOSO,9RB Terjual
4,Hyl Jewelry Kalung Titaniun Wanita Permata Perhiasan aksesoris perak Lapis Alloy Emas Muda Love Karat Silver Asli Panjang Muda Dan Anti Luntur,https://shopee.co.id/Hyl-Jewelry-Kalung-Titaniun-Wanita-Permata-Perhiasan-aksesoris-perak-Lapis-Alloy-Emas-Muda-Love-Karat-Silver-Asli-Panjang-Muda-Dan-Anti-Luntur-i.580297639.14114450144?sp_atk=9aa931c0-6acc-4711-8c32-57d189a1a1a8&xptdk=9aa931c0-6acc-4711-8c32-57d189a1a1a8,Rp17.054 - Rp52.000,https://down-id.img.susercontent.com/file/a272132b88a0c09965e92282f4d047bd_tn,KOTA JAKARTA UTARA,10RB+ Terjual
5,Frame Kacamata Wanita Dan Pria Gaya Retron Aksesoris Fashion Kacamata Import,https://shopee.co.id/Frame-Kacamata-Wanita-Dan-Pria-Gaya-Retron-Aksesoris-Fashion-Kacamata-Import-i.28824240.4071439801?sp_atk=6cbb96b0-9f3a-4191-9683-a4484e947b4d&xptdk=6cbb96b0-9f3a-4191-9683-a4484e947b4d,Rp4.900 - Rp12.500,https://down-id.img.susercontent.com/file/bbc6120cb8732e6e535ab75a95ddd44a_tn,KOTA TANGERANG,10RB+ Terjual
6,100PCS IKAT KARET RAMBUT ELASTIS WARNA POLOS GAYA KOREA UNTUK WANITA,https://shopee.co.id/100PCS-IKAT-KARET-RAMBUT-ELASTIS-WARNA-POLOS-GAYA-KOREA-UNTUK-WANITA-i.125865704.4462131126?sp_atk=7bf0862e-acf1-4811-9388-b2bb6f5ccd19&xptdk=7bf0862e-acf1-4811-9388-b2bb6f5ccd19,Rp1.300 - Rp4.300,https://down-id.img.susercontent.com/file/79c4b0914550a2e0a3ea6e05c1364857_tn,KOTA JAKARTA BARAT,10RB+ Terjual
7,Limitless - Sticker Charm Sandal Crosh Jibbitz 3D Limitless Accesoris Jibblitz Untuk Hiasan Charms Sandal Lepas Pasang,https://shopee.co.id/Limitless-Sticker-Charm-Sandal-Crosh-Jibbitz-3D-Limitless-Accesoris-Jibblitz-Untuk-Hiasan-Charms-Sandal-Lepas-Pasang-i.47458128.16685394476?sp_atk=b382b119-6512-47a9-b1b3-095b70e680a9&xptdk=b382b119-6512-47a9-b1b3-095b70e680a9,Rp1.500 - Rp2.000,https://down-id.img.susercontent.com/file/41f24cd57e5e4def729d3d7714eaa5a4_tn,KAB. SIDOARJO,10RB+ Terjual
8,PENJEPIT Softlens + Tongkat Stick Pasang / Capitan Softlen / Tweezers / Twezer / Jepitan,https://shopee.co.id/PENJEPIT-Softlens-Tongkat-Stick-Pasang-Capitan-Softlen-Tweezers-Twezer-Jepitan-i.448966379.16605999135?sp_atk=27daeffa-0d87-41f3-851f-1cf129b64ae4&xptdk=27daeffa-0d87-41f3-851f-1cf129b64ae4,Rp5.225 - Rp5.500,https://down-id.img.susercontent.com/file/a41a921f3088835bde1d9184cc571644_tn,KOTA JAKARTA BARAT,10RB+ Terjual
9,Korea Kacamata Hitam Optik Anti Warna Permen Kacamata candy Wanita / Pria Fashion Sunglasses,https://shopee.co.id/Korea-Kacamata-Hitam-Optik-Anti-Warna-Permen-Kacamata-candy-Wanita-Pria-Fashion-Sunglasses-i.512897309.12656854039?sp_atk=f473ae57-88c9-45a7-bf4d-a7d7abcf0ccd&xptdk=f473ae57-88c9-45a7-bf4d-a7d7abcf0ccd,Rp5.499 - Rp6.999,https://down-id.img.susercontent.com/file/14a8864ba5e6684464c60c83863fdadd_tn,KAB. TANGERANG,10RB+ Terjual
