,nama,link,harga,img,kota,terjual
0,1 SET 50 DAN 100 LEMBAR LEMBAR STICKER AESTHETIC DIY / STICKER LUCU IMUT ATK,https://shopee.co.id/1-SET-50-DAN-100-LEMBAR-LEMBAR-STICKER-AESTHETIC-DIY-STICKER-LUCU-IMUT-ATK-i.663035045.18911591919?sp_atk=73078e8c-e8f9-4e40-bb94-b432793702a3&xptdk=73078e8c-e8f9-4e40-bb94-b432793702a3,Rp11.500 - Rp21.000,https://down-id.img.susercontent.com/file/sg-11134201-22120-wa63wvlcotkvc8_tn,KOTA JAKARTA PUSAT,"5,5RB Terjual"
1,Lanyard ID Card Holder Name Tag Kulit Dua Sisi Bolak Balik Mika Kancing Termurah Berkualitas,https://shopee.co.id/Lanyard-ID-Card-Holder-Name-Tag-Kulit-Dua-Sisi-Bolak-Balik-Mika-Kancing-Termurah-Berkualitas-i.35010100.7690562241?sp_atk=a8b78932-15e6-4aed-872d-277c5edd561f&xptdk=a8b78932-15e6-4aed-872d-277c5edd561f,Rp23.750 - Rp25.000,https://down-id.img.susercontent.com/file/f9fbe0bfb5fd1740e3d61b9ec1d0eff3_tn,KOTA JAKARTA UTARA,10RB+ Terjual
2,LINK BAJU LIVE SHOPPING SALE 10-50 SALE,https://shopee.co.id/LINK-BAJU-LIVE-SHOPPING-SALE-10-50-SALE-i.6423058.2381670485?sp_atk=0dae123b-1a5f-4a34-8bc0-f5c791db8f36&xptdk=0dae123b-1a5f-4a34-8bc0-f5c791db8f36,Rp10.000 - Rp50.000,https://down-id.img.susercontent.com/file/c900f63f0cc73abdee6bde255f4c7e55_tn,KOTA JAKARTA BARAT,10RB+ Terjual
3,FAYES Pena Gel 0.5 mm / Alat Tulis / Perlengkapan Sekolah / Pulpen Hitam COD U09,https://shopee.co.id/FAYES-Pena-Gel-0.5-mm-Alat-Tulis-Perlengkapan-Sekolah-Pulpen-Hitam-COD-U09-i.189198206.3463618962?sp_atk=5a72f736-a093-4e6c-a0ef-adb38a42bff6&xptdk=5a72f736-a093-4e6c-a0ef-adb38a42bff6,Rp415,https://down-id.img.susercontent.com/file/id-11134201-23030-gvyptre05tovee_tn,KAB. TANGERANG,10RB+ Terjual
4,Sticker Waterproof Sticker Momo Dapat Box Isi 100 Lembar Motif Momo Kartun Korea Lucu Anti Air Dekorasi Handbook Scrapbook Sticker,https://shopee.co.id/Sticker-Waterproof-Sticker-Momo-Dapat-Box-Isi-100-Lembar-Motif-Momo-Kartun-Korea-Lucu-Anti-Air-Dekorasi-Handbook-Scrapbook-Sticker-i.241623354.17191892665?sp_atk=4a9961ca-1ee6-4437-af2e-ca22192a22ff&xptdk=4a9961ca-1ee6-4437-af2e-ca22192a22ff,Rp14.099,https://down-id.img.susercontent.com/file/sg-11134201-23010-fmgls7av2ulv8c_tn,KOTA SURABAYA,10RB+ Terjual
5,[DELI X AGNEZ MO] Deli Mini Cutter / Cutter Portable Pembuka Paket Tajam Anti Karat CZ102,https://shopee.co.id/-DELI-X-AGNEZ-MO-Deli-Mini-Cutter-Cutter-Portable-Pembuka-Paket-Tajam-Anti-Karat-CZ102-i.65736753.20072769303?sp_atk=692479b1-e772-46a7-ba85-05b12a68c394&xptdk=692479b1-e772-46a7-ba85-05b12a68c394,Rp3.000,https://down-id.img.susercontent.com/file/sg-11134201-23020-1quwrjimzanv16_tn,KAB. TANGERANG,"8,1RB Terjual"
6,Buku Cerita Anak Seri Tematik Bilingual Full Colour Kertas HVS,https://shopee.co.id/Buku-Cerita-Anak-Seri-Tematik-Bilingual-Full-Colour-Kertas-HVS-i.126695787.3623552575?sp_atk=428214f7-8ea7-4c96-8d8c-aa0fdbc4c638&xptdk=428214f7-8ea7-4c96-8d8c-aa0fdbc4c638,Rp4.200,https://down-id.img.susercontent.com/file/1785e8effbaf74b5982dee7344ccf13d_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
7,Ball Pen Pulpen Pena Joyko BP-345 Haruto 0.7 mm,https://shopee.co.id/Ball-Pen-Pulpen-Pena-Joyko-BP-345-Haruto-0.7-mm-i.64925304.20017922849?sp_atk=36ef5e94-f111-4106-970a-d35c5473a472&xptdk=36ef5e94-f111-4106-970a-d35c5473a472,Rp808,https://down-id.img.susercontent.com/file/fd29dcb417ac8c8107a49728b63fafa8_tn,KOTA JAKARTA UTARA,10RB+ Terjual
8,Loose Leaf A5 B5 Isi Kertas Binder Kertas File A5 20 Ring B5 26 Ring Bergaris Polos,https://shopee.co.id/Loose-Leaf-A5-B5-Isi-Kertas-Binder-Kertas-File-A5-20-Ring-B5-26-Ring-Bergaris-Polos-i.35010100.8313814574?sp_atk=83d61b41-1044-42a2-bcb4-ce668232b46f&xptdk=83d61b41-1044-42a2-bcb4-ce668232b46f,Rp3.925 - Rp13.400,https://down-id.img.susercontent.com/file/f285c65233900dde0f996f8b0b76d1ea_tn,KOTA JAKARTA UTARA,10RB+ Terjual
9,[isi 10][Bisapilih motif] Amplop Lebaran UK MEDIUM sudah dilem,https://shopee.co.id/-isi-10-Bisapilih-motif-Amplop-Lebaran-UK-MEDIUM-sudah-dilem-i.293134452.15446900953?sp_atk=7fb9c25c-4086-4651-b2f7-9432c87e4870&xptdk=7fb9c25c-4086-4651-b2f7-9432c87e4870,Rp990,https://down-id.img.susercontent.com/file/sg-11134201-23010-70r8bdkauzlvc4_tn,KAB. BLITAR,10RB+ Terjual
