,nama,link,harga,img,kota,terjual
0,NEW ARRIVAL Kacamata Minus Oval Retro Wanita PRIA Style Korean 0.50-4.00 Free Box Dan Lap Pembersih Sungglasses Vintage New,https://shopee.co.id/NEW-ARRIVAL-Kacamata-Minus-Oval-Retro-Wanita-PRIA-Style-Korean-0.50-4.00-Free-Box-Dan-Lap-Pembersih-Sungglasses-Vintage-New-i.93163083.14608062128?sp_atk=0d11c563-ed02-4efa-bc2c-3df5c7322555&xptdk=0d11c563-ed02-4efa-bc2c-3df5c7322555,Rp18.216 - Rp26.235,https://down-id.img.susercontent.com/file/b1a004106ab40456232fe3370243b8ce_tn,KOTA JAKARTA BARAT,10RB+ Terjual
1,Chrome | Trucker | Trucker hat | Topi Cowo | Topi | Brand | Gocaps,https://shopee.co.id/Chrome-Trucker-Trucker-hat-Topi-Cowo-Topi-Brand-Gocaps-i.197464998.20539499908?sp_atk=e9556e8c-513c-4fbf-9ddb-7fca798329c1&xptdk=e9556e8c-513c-4fbf-9ddb-7fca798329c1,Rp22.200 - Rp23.400,https://down-id.img.susercontent.com/file/fa97048417bfbede6293be208512a034_tn,KAB. BANDUNG,10RB+ Terjual
2,(Hello Girl)F44 20PCS/Box Ikat rambut wanita per box ikat rambut polos warna warni import,https://shopee.co.id/(Hello-Girl)F44-20PCS-Box-Ikat-rambut-wanita-per-box-ikat-rambut-polos-warna-warni-import-i.536886380.11190970841?sp_atk=badf2ca1-0c88-4fea-b822-b29455ee1dda&xptdk=badf2ca1-0c88-4fea-b822-b29455ee1dda,Rp7.100,https://down-id.img.susercontent.com/file/433a7bf138e390c467ea39431e98076b_tn,KOTA TANGERANG,10RB+ Terjual
3,NEW Gelang Couple Magnet Astronot 2Pcs Pasangan Sahabat Pria & Wanita Bestie GLG05,https://shopee.co.id/NEW-Gelang-Couple-Magnet-Astronot-2Pcs-Pasangan-Sahabat-Pria-Wanita-Bestie-GLG05-i.27138849.20140166981?sp_atk=84648ef1-cc12-4807-90b8-93d02dd95a81&xptdk=84648ef1-cc12-4807-90b8-93d02dd95a81,Rp6.850,https://down-id.img.susercontent.com/file/46d1229484090f66e7467b1c59d434d8_tn,KOTA JAKARTA SELATAN,"8,9RB Terjual"
4,Viendo Kacamata Photocromic Anti Radiasi Minus Wanita Pria Terbaru Cowok Baru 2022 Fotocromic Kacamata Komputer Anti Sinar Matahari Blueray Silau Potocromic Korea Kaca Mata Optik,https://shopee.co.id/Viendo-Kacamata-Photocromic-Anti-Radiasi-Minus-Wanita-Pria-Terbaru-Cowok-Baru-2022-Fotocromic-Kacamata-Komputer-Anti-Sinar-Matahari-Blueray-Silau-Potocromic-Korea-Kaca-Mata-Optik-i.70841363.13467958258?sp_atk=ed3755b5-087e-47e8-8d68-c370bd2c8138&xptdk=ed3755b5-087e-47e8-8d68-c370bd2c8138,Rp51.209 - Rp149.025,https://down-id.img.susercontent.com/file/b49e89b4d5f8ed867524d34c6e0d8889_tn,Luar Negeri,10RB+ Terjual
5,Alat Pasang Softlens Capitan Random,https://shopee.co.id/Alat-Pasang-Softlens-Capitan-Random-i.136945184.2262758383?sp_atk=ebf85ef5-70e6-4014-86be-03fa32c9f37d&xptdk=ebf85ef5-70e6-4014-86be-03fa32c9f37d,Rp3.465,https://down-id.img.susercontent.com/file/ec48d10b44eac77bb7911209af024a4c_tn,KAB. SIDOARJO,10RB+ Terjual
6,Reseller Welcome - F705 Ikat Rambut Karet Polos Elastis Gaya Korea Wanita / Karet Rambut Wanita / Karet Gel Wanita,https://shopee.co.id/Reseller-Welcome-F705-Ikat-Rambut-Karet-Polos-Elastis-Gaya-Korea-Wanita-Karet-Rambut-Wanita-Karet-Gel-Wanita-i.265629595.6359422513?sp_atk=e8c6cfb0-f9ca-4c94-b5cd-59ed2caa9fa4&xptdk=e8c6cfb0-f9ca-4c94-b5cd-59ed2caa9fa4,Rp4.479,https://down-id.img.susercontent.com/file/id-11134207-7qula-ljl0erb6ti3377_tn,KAB. TANGERANG,10RB+ Terjual
7,Henna Tato Halal Tahan Lama Bisa Custom Hena Kit 10ml HEN G01 - G06,https://shopee.co.id/Henna-Tato-Halal-Tahan-Lama-Bisa-Custom-Hena-Kit-10ml-HEN-G01-G06-i.179418708.7158012769?sp_atk=40e76508-9844-473d-a4d9-cc39f25921e4&xptdk=40e76508-9844-473d-a4d9-cc39f25921e4,Rp10.000 - Rp25.000,https://down-id.img.susercontent.com/file/id-11134207-7qul8-lkhpao6g2ym1b0_tn,KAB. BOGOR,10RB+ Terjual
8,Kacamata Retro Gladys Frame Kotak Glasses -  Kacamata Hitam Wanita Fashion Retro Vintage Sunglasses Korean Import,https://shopee.co.id/Kacamata-Retro-Gladys-Frame-Kotak-Glasses-Kacamata-Hitam-Wanita-Fashion-Retro-Vintage-Sunglasses-Korean-Import-i.28824240.13773858387?sp_atk=42482715-b7fc-44d6-b59e-4cb0409172a2&xptdk=42482715-b7fc-44d6-b59e-4cb0409172a2,Rp4.389,https://down-id.img.susercontent.com/file/d47d225c698adca1ed5dbfa87de528b4_tn,KOTA TANGERANG,10RB+ Terjual
9,7 Pairs Exquisite Small Earrings Set One Week Fashion Ear Jewelry Simple Accessories Gifts,https://shopee.co.id/7-Pairs-Exquisite-Small-Earrings-Set-One-Week-Fashion-Ear-Jewelry-Simple-Accessories-Gifts-i.153123238.9881222759?sp_atk=85da5278-efd5-442b-9280-e78de527fc54&xptdk=85da5278-efd5-442b-9280-e78de527fc54,Rp14.400,https://down-id.img.susercontent.com/file/a94bdd9e8f5f8a5d036f8c562117359b_tn,Luar Negeri,10RB+ Terjual
