,nama,link,harga,img,kota,terjual
0,[ COD ] Kacamata Anti Radiasi Wanita Lensa Bulat Bahan Metal Korean Fashion,https://shopee.co.id/-COD-Kacamata-Anti-Radiasi-Wanita-Lensa-Bulat-Bahan-Metal-Korean-Fashion-i.28824240.22712508773?sp_atk=d5e03a54-74eb-45ed-b380-b22dcaf51c12&xptdk=d5e03a54-74eb-45ed-b380-b22dcaf51c12,Rp6.999 - Rp7.770,https://down-id.img.susercontent.com/file/sg-11134201-22120-u5u9ev2hl0kv65_tn,KOTA TANGERANG,10RB+ Terjual
1,Sarung Tangan Musim Dingin Touch Screen Pria Wanita Dewasa,https://shopee.co.id/Sarung-Tangan-Musim-Dingin-Touch-Screen-Pria-Wanita-Dewasa-i.84237850.7929903698?sp_atk=c3a571e2-7337-44ca-9f8b-650870145ea8&xptdk=c3a571e2-7337-44ca-9f8b-650870145ea8,Rp25.000 - Rp29.000,https://down-id.img.susercontent.com/file/id-11134207-7qula-lhk0d250raw7da_tn,KOTA JAKARTA BARAT,10RB+ Terjual
2,ED - BANDO SCRUNCHIE KOREA / BANDO KERUT SCRUNCHIE SATIN / HEADBAND KOREA FASHION WANITA / BANDO KOREA PASTEL,https://shopee.co.id/ED-BANDO-SCRUNCHIE-KOREA-BANDO-KERUT-SCRUNCHIE-SATIN-HEADBAND-KOREA-FASHION-WANITA-BANDO-KOREA-PASTEL-i.363102513.9608695701?sp_atk=a0d73226-2003-4fa5-90b0-59867621ccfd&xptdk=a0d73226-2003-4fa5-90b0-59867621ccfd,Rp2.490 - Rp3.230,https://down-id.img.susercontent.com/file/e668a4c4db829982414c3ccf480d2bed_tn,KOTA JAKARTA UTARA,10RB+ Terjual
3,AKSESORIS FREE BONUS KIPAS MINIMAL BELANJA 200.000,https://shopee.co.id/AKSESORIS-FREE-BONUS-KIPAS-MINIMAL-BELANJA-200.000-i.95719812.13895967142?sp_atk=35d61e1a-369b-4b93-82a5-858f2bbaec43&xptdk=35d61e1a-369b-4b93-82a5-858f2bbaec43,Rp25.000,https://down-id.img.susercontent.com/file/0da69b8f2d35f4e1381dbb0ac9a86723_tn,KOTA TANGERANG,10RB+ Terjual
4,"PL-H008 ""PROMO"" Korean Fashion Segitiga Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses MK02",https://shopee.co.id/PL-H008-PROMO-Korean-Fashion-Segitiga-Mata-Kucing-Kacamata-Hitam-Wanita-Pria-Sunglasses-MK02-i.387295480.3003831232?sp_atk=2722c30a-bde0-4915-bf93-a4316b61e9b4&xptdk=2722c30a-bde0-4915-bf93-a4316b61e9b4,Rp4.349,https://down-id.img.susercontent.com/file/d3d4aba9b3199fc970189ac2467fdb83_tn,KOTA JAKARTA UTARA,10RB+ Terjual
5,Bros Kristal /Bros dagu/bros warna warni / bross crystal / bross,https://shopee.co.id/Bros-Kristal-Bros-dagu-bros-warna-warni-bross-crystal-bross-i.69378570.13339679550?sp_atk=60f9d1a8-8c71-4e4d-8cea-9d82525c6693&xptdk=60f9d1a8-8c71-4e4d-8cea-9d82525c6693,Rp2.500 - Rp2.900,https://down-id.img.susercontent.com/file/sg-11134201-23010-mvqbirzog1lv4d_tn,KOTA SURABAYA,10RB+ Terjual
6,Ikat rambut Cepol hijab Scrunchie Jumbo,https://shopee.co.id/Ikat-rambut-Cepol-hijab-Scrunchie-Jumbo-i.7438346.5410226756?sp_atk=b5314a62-da3d-4660-9a16-4c46216a7794&xptdk=b5314a62-da3d-4660-9a16-4c46216a7794,Rp1.199 - Rp2.500,https://down-id.img.susercontent.com/file/823877a3a4f7aac1d07144312a5cdf0c_tn,KAB. BANDUNG,10RB+ Terjual
7,Set Cincin Manik-Manik Mutiara Resin Warna-Warni 17KM Gaya Korea Untuk Wanita,https://shopee.co.id/Set-Cincin-Manik-Manik-Mutiara-Resin-Warna-Warni-17KM-Gaya-Korea-Untuk-Wanita-i.203239186.23403846208?sp_atk=5f99f334-fc9d-4636-ab20-c6f3b3d1d390&xptdk=5f99f334-fc9d-4636-ab20-c6f3b3d1d390,Rp9.999 - Rp16.199,https://down-id.img.susercontent.com/file/sg-11134201-22110-xdy7e7ugbhjv66_tn,Luar Negeri,10RB+ Terjual
8,PL-WW004 Kacamata Hitam Wanita/Pria Sunglasses Korean Fashion Small Candy Color KM02a,https://shopee.co.id/PL-WW004-Kacamata-Hitam-Wanita-Pria-Sunglasses-Korean-Fashion-Small-Candy-Color-KM02a-i.610272037.11498170857?sp_atk=076a3f0a-73ac-48dc-bb0a-ac9cff95f9ea&xptdk=076a3f0a-73ac-48dc-bb0a-ac9cff95f9ea,Rp4.149,https://down-id.img.susercontent.com/file/sg-11134201-22110-30qicdbto6jvbb_tn,KOTA JAKARTA UTARA,10RB+ Terjual
9,Softlens minus (-1.00 s/d -8.00) /Magister Softlens/Softlens Bening Minus / Softlens Clear Min Semua,https://shopee.co.id/Softlens-minus-(-1.00-s-d-8.00)-Magister-Softlens-Softlens-Bening-Minus-Softlens-Clear-Min-Semua-i.567574885.11183779300?sp_atk=a36f63f0-ff25-4521-98d1-1b56689575d2&xptdk=a36f63f0-ff25-4521-98d1-1b56689575d2,Rp23.610 - Rp23.800,https://down-id.img.susercontent.com/file/sg-11134201-22120-fdzmibzpvtkv6c_tn,KOTA JAKARTA BARAT,10RB+ Terjual
