,nama,link,harga,img,kota,terjual
11,BABY GOLD / ROSE GOLD Emas Murni Logam mulia 0.001gr / 0.002gr / 0.005gr,https://shopee.co.id/BABY-GOLD-ROSE-GOLD-Emas-Murni-Logam-mulia-0.001gr-0.002gr-0.005gr-i.617229160.21004670188?sp_atk=4592bcc3-91fe-4c64-9d08-593bde9c72e9&xptdk=4592bcc3-91fe-4c64-9d08-593bde9c72e9,Rp1.625 - Rp7.200,https://down-id.img.susercontent.com/file/id-11134207-7qukw-lju53njs9w3z45_tn,KOTA BANDUNG,10RB+ Terjual
12,SOFTLENS K-POP NORMAL / KPOP BIG EYES 16MM by X2 EXOTICON,https://shopee.co.id/SOFTLENS-K-POP-NORMAL-KPOP-BIG-EYES-16MM-by-X2-EXOTICON-i.17220153.2336188342?sp_atk=3746319f-1f44-4b5d-a3fa-ce6e5af3d030&xptdk=3746319f-1f44-4b5d-a3fa-ce6e5af3d030,Rp22.080 - Rp27.930,https://down-id.img.susercontent.com/file/29396d52da5feaf5cc952d4f2a125cbd_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
13,Bando Scrunchie Small Ruffle Headband Premium | Bando Korea Scrunchie Serut TERMURAH,https://shopee.co.id/Bando-Scrunchie-Small-Ruffle-Headband-Premium-Bando-Korea-Scrunchie-Serut-TERMURAH-i.199203081.8837450101?sp_atk=9de1cd1c-2df6-4115-bb2e-5d1faa666dc5&xptdk=9de1cd1c-2df6-4115-bb2e-5d1faa666dc5,Rp1.799 - Rp3.999,https://down-id.img.susercontent.com/file/0bad2bfe01756b044fa8687f3b83d4f9_tn,KAB. SIDOARJO,10RB+ Terjual
14,"PL-AR002 ""PROMO""Kacamata Korea Wanita Anti Radiasi Photocromic Wanita Fashion Cat Eye Eyeglasses  AR02",https://shopee.co.id/PL-AR002-PROMO-Kacamata-Korea-Wanita-Anti-Radiasi-Photocromic-Wanita-Fashion-Cat-Eye-Eyeglasses-AR02-i.387295480.14861569226?sp_atk=57b014ec-24d2-464c-acab-7cabbcfac101&xptdk=57b014ec-24d2-464c-acab-7cabbcfac101,Rp3.550 - Rp10.199,https://down-id.img.susercontent.com/file/sg-11134201-23020-ul35u9egxcnv22_tn,KOTA JAKARTA UTARA,10RB+ Terjual
15,Topi Pria Baseball Polos Wanita Unisex PoloCaps Premium Termurah Warna Komplit,https://shopee.co.id/Topi-Pria-Baseball-Polos-Wanita-Unisex-PoloCaps-Premium-Termurah-Warna-Komplit-i.4715810.8537454747?sp_atk=327ce302-d9e8-41a5-92ed-84a5f3c6b430&xptdk=327ce302-d9e8-41a5-92ed-84a5f3c6b430,Rp6.699 - Rp6.799,https://down-id.img.susercontent.com/file/8303f9703622ad895c66730e6f57581a_tn,KAB. BANDUNG,10RB+ Terjual
16,Cincin Kazia Berbagai Bentuk Elegan Ring Fashion Model Korea Alloy Desain Kupu- kupu Hias Opal berlian Imitasimutiara Untuk Wanita Butterfly,https://shopee.co.id/Cincin-Kazia-Berbagai-Bentuk-Elegan-Ring-Fashion-Model-Korea-Alloy-Desain-Kupu-kupu-Hias-Opal-berlian-Imitasimutiara-Untuk-Wanita-Butterfly-i.114024778.21334676108?sp_atk=b2c710ce-f95c-4b6b-84e7-228d56c5d0eb&xptdk=b2c710ce-f95c-4b6b-84e7-228d56c5d0eb,Rp7.999 - Rp11.547,https://down-id.img.susercontent.com/file/b0b4e2421860af546c0d471cb1de6c6b_tn,KOTA BANDUNG,10RB+ Terjual
17,IKAT RAMBUT SCRUNCHIE BULU MOTIF KELINCI KOREA / KUNCIRAN RAMBUT SCRUNCHIE MODEL KOREAN / IKAT RAMBUT CEPOL,https://shopee.co.id/IKAT-RAMBUT-SCRUNCHIE-BULU-MOTIF-KELINCI-KOREA-KUNCIRAN-RAMBUT-SCRUNCHIE-MODEL-KOREAN-IKAT-RAMBUT-CEPOL-i.175239887.16488152053?sp_atk=cb9dab8a-7ab4-4ea2-9b57-f8c228d58e21&xptdk=cb9dab8a-7ab4-4ea2-9b57-f8c228d58e21,Rp3.180,https://down-id.img.susercontent.com/file/sg-11134201-22100-0e8jgi8mgxiv26_tn,KOTA JAKARTA UTARA,10RB+ Terjual
18,［Bayar di Tempat］Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,https://shopee.co.id/［Bayar-di-Tempat］Korean-Fashion-Bulat-Mata-Kucing-Kacamata-Hitam-Wanita-Pria-Sunglasses-i.28824240.4250400532?sp_atk=23dd5578-65a2-4135-9d88-be69bd45dba9&xptdk=23dd5578-65a2-4135-9d88-be69bd45dba9,Rp3.489,https://down-id.img.susercontent.com/file/26cc76a072571496265bf2fdf595c599_tn,KOTA TANGERANG,10RB+ Terjual
19,Mesin Pencuci Softlens MANUAL / Alat Cuci Soflens Steamer Soflen,https://shopee.co.id/Mesin-Pencuci-Softlens-MANUAL-Alat-Cuci-Soflens-Steamer-Soflen-i.375994.5836100879?sp_atk=377e00cb-3cf5-463e-947e-79aa94ca7b7f&xptdk=377e00cb-3cf5-463e-947e-79aa94ca7b7f,Rp5.537,https://down-id.img.susercontent.com/file/29116010765efe65fbd618b688942791_tn,KOTA JAKARTA UTARA,10RB+ Terjual
20,(PART 1 BRC) Bros dagu / pin hijab / bros karakter / Bros Pin / Pin resin / Bros baju / Bros Hijab /Bros Bunga / Brooch /Broch / Bros lucu / Bros anak / clay resin / aksesoris Tas / Bros murah / Grosir Bros / bros import / Bros tas / bros tuspin,https://shopee.co.id/(PART-1-BRC)-Bros-dagu-pin-hijab-bros-karakter-Bros-Pin-Pin-resin-Bros-baju-Bros-Hijab-Bros-Bunga-Brooch-Broch-Bros-lucu-Bros-anak-clay-resin-aksesoris-Tas-Bros-murah-Grosir-Bros-bros-import-Bros-tas-bros-tuspin-i.104920470.12025397407?sp_atk=add5a6eb-c012-43be-9e00-c5e8ada83e1b&xptdk=add5a6eb-c012-43be-9e00-c5e8ada83e1b,Rp2.400 - Rp12.384,https://down-id.img.susercontent.com/file/f8fd7c02b98c6d02638bba285ab77d52_tn,KOTA JAKARTA BARAT,10RB+ Terjual
