,nama,link,harga,img,kota,terjual
0,YK DESIGN 101 Blender / Penggiling daging sayur buah-buah meat mincer chopper kapsul mini,https://shopee.co.id/YK-DESIGN-101-Blender-Penggiling-daging-sayur-buah-buah-meat-mincer-chopper-kapsul-mini-i.170279296.5741643488?sp_atk=6bd4a010-064a-4b29-ba5f-307670108663&xptdk=6bd4a010-064a-4b29-ba5f-307670108663,Rp80.999,https://down-id.img.susercontent.com/file/id-11134207-7qukz-lfjj22zjl39i02_tn,KOTA TANGERANG,10RB+ Terjual
1,【COD 】2/4/6/8/10/12/16 LED Lampu Taman Tenaga Surya COB Sensor Light LED Solar Lamp / Halaman Taman / Pencahayaan Taman,https://shopee.co.id/【COD-】2-4-6-8-10-12-16-LED-Lampu-Taman-Tenaga-Surya-COB-Sensor-Light-LED-Solar-Lamp-Halaman-Taman-Pencahayaan-Taman-i.522772656.19240723052?sp_atk=79e45762-8084-41b8-b758-9b080dc4182f&xptdk=79e45762-8084-41b8-b758-9b080dc4182f,Rp10.899 - Rp55.899,https://down-id.img.susercontent.com/file/sg-11134201-7rbk0-lkqmkrgarsdiff_tn,KAB. TANGERANG,10RB+ Terjual
2,Philips MultiPack MyCare Eyecomfort LedBulb 10W 6500K Putih,https://shopee.co.id/Philips-MultiPack-MyCare-Eyecomfort-LedBulb-10W-6500K-Putih-i.30082703.1702602415?sp_atk=39eeaddb-d4e2-40cb-9ae8-59cd842bae1a&xptdk=39eeaddb-d4e2-40cb-9ae8-59cd842bae1a,Rp143.000,https://down-id.img.susercontent.com/file/id-11134201-23020-wdiedd6jrlnv98_tn,KOTA JAKARTA TIMUR,10RB+ Terjual
3,Mecoo Most Aesthetic Rice Cooker Low Carbo Low Sugar 400 Low Watt 1.5L Digital Non Stick Ceramic Coated Teflon Free Hemat Listrik & Anti Jeglek Multi Fungsi Penanak Nasi Magic Com Kado Pernikahan,https://shopee.co.id/Mecoo-Most-Aesthetic-Rice-Cooker-Low-Carbo-Low-Sugar-400-Low-Watt-1.5L-Digital-Non-Stick-Ceramic-Coated-Teflon-Free-Hemat-Listrik-Anti-Jeglek-Multi-Fungsi-Penanak-Nasi-Magic-Com-Kado-Pernikahan-i.423676707.22600258369?sp_atk=1a1b442f-5f49-4c26-a3c3-9caa4adcbf96&xptdk=1a1b442f-5f49-4c26-a3c3-9caa4adcbf96,Rp760.050 - Rp799.000,https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkv8d2e8x7c0e7_tn,KOTA JAKARTA UTARA,"6,1RB Terjual"
4,Philips RadiantLine Multipack LEDBulb 5W 6500K,https://shopee.co.id/Philips-RadiantLine-Multipack-LEDBulb-5W-6500K-i.30082703.19338296443?sp_atk=806c0caa-cfc9-4d9d-b86f-a7f3da03bd90&xptdk=806c0caa-cfc9-4d9d-b86f-a7f3da03bd90,Rp48.500,https://down-id.img.susercontent.com/file/30239d8444680220d96f99c14c71c2cf_tn,KOTA JAKARTA TIMUR,10RB+ Terjual
5,Philips RadiantLine Rechargeable LEDBulb 11W 6500K,https://shopee.co.id/Philips-RadiantLine-Rechargeable-LEDBulb-11W-6500K-i.30082703.20738291808?sp_atk=5ce18bf6-2f00-492f-be70-ec7a6f3d0bc6&xptdk=5ce18bf6-2f00-492f-be70-ec7a6f3d0bc6,Rp62.500,https://down-id.img.susercontent.com/file/087014cf39e7f49b50eb2166c26c538f_tn,KOTA JAKARTA TIMUR,10RB+ Terjual
6,LAMPU LED MODUL 3MATA SMD DC 12VOLT DAN  24VOLT WATERPROOF 3 MATA 12V 24V 12 V VOLT VARIASI,https://shopee.co.id/LAMPU-LED-MODUL-3MATA-SMD-DC-12VOLT-DAN-24VOLT-WATERPROOF-3-MATA-12V-24V-12-V-VOLT-VARIASI-i.218542238.8750838430?sp_atk=d4bee18c-e990-4f88-a5e2-cb63f680c909&xptdk=d4bee18c-e990-4f88-a5e2-cb63f680c909,Rp500 - Rp1.500,https://down-id.img.susercontent.com/file/7216181d980b00ffd5a7711d203b909e_tn,KOTA SURABAYA,10RB+ Terjual
7,Mecoo Most Aesthetic Digital 650 Low Watt Air Fryer 4.5L 5.5L SNI Hemat Listrik & Anti Jeglek Mesin Penggorengan Tanpa Minyak Kado Pernikahan,https://shopee.co.id/Mecoo-Most-Aesthetic-Digital-650-Low-Watt-Air-Fryer-4.5L-5.5L-SNI-Hemat-Listrik-Anti-Jeglek-Mesin-Penggorengan-Tanpa-Minyak-Kado-Pernikahan-i.423676707.10202957396?sp_atk=63eb46f0-7727-45e5-ac61-d3e50ed1c096&xptdk=63eb46f0-7727-45e5-ac61-d3e50ed1c096,Rp599.000 - Rp899.000,https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkv7z90mkv5g5b_tn,KOTA JAKARTA UTARA,10RB+ Terjual
8,Hannochs Lampu LED Nova 12 Watt Cahaya Putih ( PAKET 3pcs ),https://shopee.co.id/Hannochs-Lampu-LED-Nova-12-Watt-Cahaya-Putih-(-PAKET-3pcs-)-i.161650204.5745313106?sp_atk=782825ca-5df2-4916-b210-dc31aeb0b09b&xptdk=782825ca-5df2-4916-b210-dc31aeb0b09b,Rp56.700,https://down-id.img.susercontent.com/file/766af49f46330329de3b85f14a51c7b8_tn,KAB. TANGERANG,10RB+ Terjual
9,Philips Multipack MyCare Eyecomfort LED Bright 13W E27 6500K Putih,https://shopee.co.id/Philips-Multipack-MyCare-Eyecomfort-LED-Bright-13W-E27-6500K-Putih-i.30082703.16172528135?sp_atk=b6411e55-8c4a-44f0-aad7-c12f528a208d&xptdk=b6411e55-8c4a-44f0-aad7-c12f528a208d,Rp115.000,https://down-id.img.susercontent.com/file/e7522448310db25e598e7f83b64c903b_tn,KOTA JAKARTA TIMUR,10RB+ Terjual
